Date,Open,High,Low,Close,Adj Close,Volume
2021-07-16,48.450001,48.480000,45.830002,46.009998,46.009998,13760700
2021-07-19,43.700001,44.650002,42.560001,43.459999,43.459999,26444000
2021-07-20,43.549999,46.459999,43.070000,46.320000,46.320000,21894000
2021-07-21,47.119999,48.939999,46.990002,48.099998,48.099998,23048300
2021-07-22,47.689999,48.700001,46.799999,47.950001,47.950001,12922300
2021-07-23,48.139999,48.480000,47.160000,47.529999,47.529999,9491300
2021-07-26,47.500000,49.529999,47.400002,49.459999,49.459999,10775300
2021-07-27,49.110001,49.570000,48.090000,48.650002,48.650002,10559900
2021-07-28,49.080002,49.509998,48.040001,49.139999,49.139999,9772500
2021-07-29,49.580002,49.599998,48.459999,48.490002,48.490002,7643600
2021-07-30,47.689999,48.230000,46.490002,46.720001,46.720001,12057700
2021-08-02,46.849998,48.230000,45.950001,46.070000,46.070000,10995900
2021-08-03,46.119999,46.570000,44.610001,46.540001,46.540001,12597000
2021-08-04,45.520000,46.650002,44.900002,45.279999,45.279999,12205000
2021-08-05,45.520000,47.669998,45.380001,47.240002,47.240002,12644600
2021-08-06,47.720001,48.130001,46.580002,47.619999,47.619999,9910400
2021-08-09,46.990002,47.000000,45.529999,46.450001,46.450001,13064800
2021-08-10,46.369999,48.240002,46.169998,47.680000,47.680000,12551700
2021-08-11,47.139999,48.410000,46.459999,48.209999,48.209999,12779300
2021-08-12,47.910000,48.009998,46.549999,47.240002,47.240002,9307300
2021-08-13,47.080002,47.380001,46.270000,46.490002,46.490002,7563100
2021-08-16,45.619999,46.549999,45.160000,46.299999,46.299999,8402500
2021-08-17,45.439999,45.799999,44.520000,45.290001,45.290001,9745500
2021-08-18,45.119999,45.990002,44.709999,45.040001,45.040001,9460700
2021-08-19,44.770000,44.900002,43.169998,43.930000,43.930000,12360700
2021-08-20,43.790001,44.320000,43.480000,44.029999,44.029999,9855900
2021-08-23,44.639999,45.630001,44.320000,45.529999,45.529999,8269200
2021-08-24,46.340000,47.560001,46.279999,47.119999,47.119999,10048000
2021-08-25,47.299999,47.939999,46.540001,47.590000,47.590000,9772300
2021-08-26,47.299999,48.020000,46.400002,47.009998,47.009998,8604000
2021-08-27,47.169998,48.220001,47.029999,47.709999,47.709999,6816100
2021-08-30,48.009998,48.009998,45.709999,45.910000,45.910000,11376100
2021-08-31,45.730000,46.830002,45.610001,46.509998,46.509998,8884200
2021-09-01,46.750000,46.930000,45.950001,46.189999,46.189999,8608000
2021-09-02,46.279999,47.490002,45.869999,46.759998,46.759998,9780100
2021-09-03,46.599998,47.360001,45.919998,46.220001,46.220001,7705300
2021-09-07,46.020000,46.779999,45.680000,46.570000,46.570000,7802500
2021-09-08,46.700001,47.189999,45.419998,45.529999,45.529999,9053400
2021-09-09,45.240002,47.740002,45.070000,46.580002,46.580002,12872300
2021-09-10,46.820000,46.820000,44.180000,44.340000,44.340000,17476100
2021-09-13,44.730000,45.180000,43.570000,44.840000,44.840000,14173600
2021-09-14,44.630001,44.930000,43.580002,43.869999,43.869999,10762800
2021-09-15,43.650002,43.910000,43.020000,43.860001,43.860001,10321600
2021-09-16,43.860001,45.410000,43.849998,44.470001,44.470001,12204300
2021-09-17,44.779999,45.500000,44.110001,44.540001,44.540001,11743900
2021-09-20,44.759998,45.340000,43.590000,45.270000,45.270000,14700300
2021-09-21,45.500000,46.259998,44.279999,44.450001,44.450001,12217700
2021-09-22,44.849998,46.290001,44.830002,45.680000,45.680000,13783000
2021-09-23,46.180000,47.830002,46.099998,47.470001,47.470001,13703500
2021-09-24,47.380001,48.950001,47.380001,48.790001,48.790001,12236400
2021-09-27,49.509998,50.560001,48.980000,49.080002,49.080002,14094300
2021-09-28,49.020000,49.669998,48.349998,48.680000,48.680000,9820600
2021-09-29,48.880001,49.410000,47.779999,48.709999,48.709999,9791600
2021-09-30,48.380001,48.400002,47.180000,47.570000,47.570000,12016500
2021-10-01,48.900002,51.480000,48.880001,51.340000,51.340000,21464900
2021-10-04,51.759998,52.430000,50.980000,51.299999,51.299999,13986700
2021-10-05,51.360001,51.860001,50.369999,50.880001,50.880001,9828100
2021-10-06,49.849998,50.279999,49.060001,50.220001,50.220001,9995900
2021-10-07,50.869999,50.900002,49.209999,49.520000,49.520000,10812100
2021-10-08,49.500000,49.650002,48.650002,49.160000,49.160000,7338500
2021-10-11,48.750000,49.980000,48.230000,49.180000,49.180000,8145100
2021-10-12,49.090000,50.139999,48.669998,49.669998,49.669998,7402300
2021-10-13,49.369999,49.410000,47.459999,47.880001,47.880001,13271500
2021-10-14,48.330002,48.650002,47.830002,47.910000,47.910000,7435000
2021-10-15,48.630001,49.290001,47.939999,48.000000,48.000000,8516900
2021-10-18,47.700001,48.130001,47.150002,47.169998,47.169998,9126800
2021-10-19,47.200001,47.250000,46.080002,46.220001,46.220001,14646400
2021-10-20,46.900002,46.900002,45.580002,45.950001,45.950001,19751200
2021-10-21,46.180000,47.180000,45.980000,46.720001,46.720001,13252600
2021-10-22,46.119999,47.380001,46.119999,46.730000,46.730000,8565800
2021-10-25,46.540001,47.180000,46.240002,46.650002,46.650002,7494200
2021-10-26,47.099998,47.630001,46.540001,46.790001,46.790001,9345500
2021-10-27,47.119999,47.430000,45.790001,45.820000,45.820000,7896600
2021-10-28,46.000000,46.259998,45.439999,46.009998,46.009998,7376800
2021-10-29,45.860001,46.450001,45.480000,46.139999,46.139999,9674900
2021-11-01,46.180000,48.150002,45.820000,48.049999,48.049999,13566900
2021-11-02,47.919998,48.080002,47.189999,47.980000,47.980000,8764900
2021-11-03,47.779999,49.230000,47.189999,49.049999,49.049999,11270800
2021-11-04,49.299999,49.470001,48.380001,49.139999,49.139999,8659200
2021-11-05,52.389999,52.869999,50.880001,52.709999,52.709999,21531900
2021-11-08,53.869999,54.520000,52.810001,53.110001,53.110001,14923100
2021-11-09,52.910000,53.099998,51.660000,52.810001,52.810001,7623900
2021-11-10,51.930000,52.810001,51.529999,51.770000,51.770000,7155800
2021-11-11,51.570000,52.150002,51.310001,51.340000,51.340000,5878800
2021-11-12,51.349998,51.410000,49.279999,49.830002,49.830002,10260800
2021-11-15,50.200001,50.830002,50.070000,50.480000,50.480000,6506800
2021-11-16,50.200001,50.360001,48.919998,49.200001,49.200001,9333100
2021-11-17,48.680000,49.500000,48.259998,48.740002,48.740002,8291600
2021-11-18,48.680000,48.849998,46.910000,47.430000,47.430000,9883600
2021-11-19,46.540001,46.540001,45.220001,46.110001,46.110001,17014000
2021-11-22,46.680000,47.330002,45.799999,46.480000,46.480000,10954000
2021-11-23,46.750000,47.580002,46.459999,46.700001,46.700001,7006900
2021-11-24,46.200001,47.130001,45.799999,46.730000,46.730000,5595600
2021-11-26,43.669998,43.709999,40.110001,42.259998,42.259998,36386900
2021-11-29,43.180000,44.110001,41.680000,42.540001,42.540001,18487100
2021-11-30,41.450001,42.340000,40.669998,42.259998,42.259998,14919000
2021-12-01,43.029999,43.570000,38.880001,39.060001,39.060001,27503000
2021-12-02,39.770000,42.040001,38.900002,41.639999,41.639999,24005600
2021-12-03,41.220001,41.590000,39.700001,40.610001,40.610001,17315000
2021-12-06,41.610001,45.410000,41.529999,43.990002,43.990002,27543800
2021-12-07,44.980000,45.459999,42.980000,43.410000,43.410000,17781000
2021-12-08,43.740002,46.599998,43.590000,45.250000,45.250000,22497300
2021-12-09,44.799999,45.250000,43.980000,44.439999,44.439999,12453100
2021-12-10,44.160000,44.290001,43.119999,44.049999,44.049999,11020600
2021-12-13,42.840000,42.990002,41.049999,41.740002,41.740002,16089500
2021-12-14,41.160000,42.590000,41.160000,41.380001,41.380001,12280300
2021-12-15,41.099998,41.639999,39.740002,41.500000,41.500000,14853300
2021-12-16,42.330002,42.650002,39.880001,40.049999,40.049999,12724200
2021-12-17,40.330002,41.619999,39.480000,40.779999,40.779999,14993800
2021-12-20,39.459999,41.709999,39.110001,41.099998,41.099998,14567200
2021-12-21,41.619999,44.230000,41.580002,43.930000,43.930000,19615800
2021-12-22,43.950001,45.209999,43.509998,44.570000,44.570000,13013100
2021-12-23,45.220001,45.480000,44.340000,44.869999,44.869999,10323000
2021-12-27,43.560001,44.779999,43.080002,44.580002,44.580002,11239300
2021-12-28,44.320000,45.799999,44.049999,45.270000,45.270000,9256200
2021-12-29,44.820000,45.169998,44.330002,44.430000,44.430000,8341000
2021-12-30,44.290001,45.200001,44.070000,44.130001,44.130001,9854600
