Date,Open,High,Low,Close,Adj Close,Volume
2021-07-19,577.989990,591.900024,575.330017,591.520020,588.779175,1456700
2021-07-20,595.940002,611.780029,588.190002,607.090027,604.277039,1555800
2021-07-21,608.210022,638.780029,608.210022,637.250000,634.297241,1637400
2021-07-22,632.070007,638.190002,630.539978,635.929993,632.983398,1252000
2021-07-23,641.719971,644.650024,633.510010,640.270020,637.303284,1031700
2021-07-26,641.229980,647.960022,635.250000,640.390015,637.422791,878200
2021-07-27,635.010010,637.260010,607.599976,622.590027,619.705200,1491200
2021-07-28,625.119995,638.000000,623.429993,635.000000,632.057678,1216000
2021-07-29,610.570007,622.469971,597.059998,619.630005,616.758911,2913900
2021-07-30,611.000000,637.500000,610.669983,637.409973,634.456482,1650500
2021-08-02,646.200012,659.489990,641.000000,641.799988,638.826172,1392300
2021-08-03,645.479980,649.340027,636.469971,645.520020,642.528931,684400
2021-08-04,648.820007,654.650024,641.500000,649.780029,646.769287,1112000
2021-08-05,651.789978,653.609985,642.710022,645.659973,642.668274,596100
2021-08-06,642.599976,648.349976,642.000000,647.960022,644.957703,606500
2021-08-09,650.000000,650.330017,639.000000,640.500000,637.532227,783100
2021-08-10,640.799988,641.219971,615.109985,617.169983,614.310303,1624900
2021-08-11,619.989990,621.909973,596.159973,608.520020,605.700439,1755700
2021-08-12,598.349976,598.450012,578.150024,583.510010,580.806274,2513600
2021-08-13,583.250000,588.340027,577.169983,580.409973,577.720642,1765400
2021-08-16,579.869995,590.520020,577.489990,588.869995,586.141418,1269200
2021-08-17,581.929993,587.469971,570.909973,578.989990,576.307190,1270100
2021-08-18,578.000000,585.570007,569.140015,569.510010,566.871155,882700
2021-08-19,565.359985,579.239990,561.679993,577.140015,574.465820,1105700
2021-08-20,583.479980,585.500000,559.830017,565.969971,563.347534,1692300
2021-08-23,572.640015,586.400024,572.400024,584.299988,581.592590,1369700
2021-08-24,586.919983,594.000000,581.729980,585.580017,582.866699,951000
2021-08-25,587.190002,594.799988,586.469971,588.770020,586.041931,901000
2021-08-26,588.000000,594.289978,583.369995,585.349976,582.637695,862400
2021-08-27,589.250000,613.190002,589.159973,609.590027,606.765503,1498100
2021-08-30,614.789978,617.799988,602.450012,607.989990,605.172852,976300
2021-08-31,608.869995,608.869995,597.000000,604.820007,602.017578,1071500
2021-09-01,607.940002,608.989990,599.140015,599.780029,597.000977,704600
2021-09-02,602.719971,607.849976,599.150024,602.099976,599.310120,857100
2021-09-03,602.020020,613.340027,596.000000,610.710022,607.880249,1029400
2021-09-07,599.150024,605.640015,588.000000,593.190002,590.441406,2331600
2021-09-08,591.440002,591.590027,576.380005,583.539978,580.836121,1721500
2021-09-09,581.000000,596.919983,579.000000,593.609985,590.859497,1539100
2021-09-10,602.130005,612.119995,596.510010,598.109985,595.338562,1556800
2021-09-13,602.909973,614.940002,599.559998,608.770020,605.949280,1313200
2021-09-14,600.609985,611.400024,598.630005,603.500000,600.703674,1181200
2021-09-15,600.919983,611.869995,597.090027,611.500000,608.666565,1142000
2021-09-16,603.859985,617.159973,599.799988,615.849976,612.996399,1352400
2021-09-17,614.950012,616.229980,603.640015,608.979980,606.158203,2014200
2021-09-20,594.900024,595.049988,581.080017,589.909973,587.176636,1324100
2021-09-21,592.369995,594.280029,578.299988,586.219971,583.503662,1604500
2021-09-22,594.000000,603.729980,588.890015,601.099976,598.314758,1035000
2021-09-23,600.590027,617.940002,596.729980,612.559998,609.721680,1100400
2021-09-24,604.640015,613.799988,601.309998,612.479980,609.642029,727300
2021-09-27,602.979980,621.989990,602.280029,616.669983,615.319580,1089200
2021-09-28,596.059998,606.359985,584.979980,585.969971,584.686768,2088500
2021-09-29,586.109985,589.000000,566.849976,567.510010,566.267212,1657700
2021-09-30,573.289978,577.530029,567.929993,569.150024,567.903687,1093800
2021-10-01,571.119995,573.650024,560.599976,569.729980,568.482361,1115700
2021-10-04,565.969971,566.500000,548.330017,550.140015,548.935303,1640700
2021-10-05,556.679993,563.280029,550.619995,555.900024,554.682678,1205600
2021-10-06,550.000000,557.900024,544.830017,551.729980,550.521790,1590800
2021-10-07,564.030029,564.140015,554.260010,555.820007,554.602844,1053500
2021-10-08,558.619995,559.950012,549.080017,550.159973,548.955200,867100
2021-10-11,548.130005,561.469971,548.010010,552.440002,551.230225,892300
2021-10-12,557.849976,558.179993,542.280029,546.780029,545.582642,1276600
2021-10-13,552.960022,558.169983,543.080017,544.409973,543.217773,1253800
2021-10-14,558.599976,568.080017,554.270020,567.929993,566.686279,1549900
2021-10-15,566.500000,568.510010,561.390015,564.469971,563.233826,1324200
2021-10-18,560.000000,569.440002,558.729980,568.700012,567.454651,1247400
2021-10-19,569.140015,578.000000,565.830017,570.830017,569.579956,1499500
2021-10-20,570.599976,572.770020,564.059998,565.500000,564.261597,1693300
2021-10-21,544.890015,555.869995,535.010010,555.419983,554.203674,3065000
2021-10-22,560.000000,575.809998,554.299988,556.739990,555.520813,1877000
2021-10-25,558.049988,562.010010,549.400024,551.969971,550.761230,1282600
2021-10-26,556.880005,559.239990,546.289978,548.940002,547.737915,1173400
2021-10-27,548.020020,560.539978,546.190002,553.619995,552.407654,1183800
2021-10-28,563.739990,579.940002,563.409973,565.950012,564.710632,2232500
2021-10-29,558.340027,567.159973,556.200012,563.570007,562.335876,1338100
2021-11-01,565.000000,572.919983,561.359985,572.760010,571.505737,1072400
2021-11-02,574.739990,578.000000,572.000000,574.239990,572.982483,897000
2021-11-03,575.059998,583.489990,569.400024,581.400024,580.126831,790800
2021-11-04,583.000000,599.099976,579.719971,598.729980,597.418823,1796500
2021-11-05,600.909973,613.000000,597.280029,610.770020,609.432495,2102800
2021-11-08,615.000000,620.010010,603.869995,609.070007,607.736206,1259800
2021-11-09,610.000000,623.059998,609.030029,621.909973,620.548096,1204100
2021-11-10,614.539978,622.280029,603.900024,605.780029,604.453430,1089800
2021-11-11,613.590027,619.299988,609.750000,613.700012,612.356079,819800
2021-11-12,617.400024,627.900024,613.500000,624.419983,623.052551,1059100
2021-11-15,632.000000,644.390015,625.080017,630.260010,628.879822,1353400
2021-11-16,629.169983,638.000000,624.429993,634.260010,632.871033,852300
2021-11-17,634.260010,638.799988,626.280029,630.630005,629.249023,906600
2021-11-18,636.989990,637.270020,624.789978,635.799988,634.407654,1000200
2021-11-19,636.400024,657.000000,633.130005,644.500000,643.088623,1833200
2021-11-22,650.919983,661.059998,642.119995,646.700012,645.283813,1875900
2021-11-23,648.000000,662.309998,641.260010,661.320007,659.871826,1753100
2021-11-24,654.000000,661.539978,645.280029,660.789978,659.342957,1215200
2021-11-26,651.460022,654.090027,638.409973,641.979980,640.574097,837700
2021-11-29,651.500000,682.289978,649.020020,680.539978,679.049683,1963900
2021-11-30,675.330017,693.000000,668.140015,679.849976,678.361206,2725400
2021-12-01,692.700012,711.830017,684.369995,693.530029,692.011292,2524900
2021-12-02,682.859985,684.950012,655.890015,661.520020,660.071350,2300600
2021-12-03,668.799988,670.989990,651.849976,661.469971,660.021423,1385600
2021-12-06,664.929993,670.770020,642.429993,667.559998,666.098145,1266500
2021-12-07,678.510010,709.559998,677.000000,706.150024,704.603638,1601600
2021-12-08,705.000000,718.309998,705.000000,714.030029,712.466370,1163400
2021-12-09,708.750000,719.909973,697.270020,699.390015,697.858459,1082800
2021-12-10,711.669983,714.099976,694.549988,705.960022,704.414063,879300
2021-12-13,707.549988,708.049988,684.000000,684.969971,683.469971,1244000
2021-12-14,674.619995,683.390015,668.140015,679.210022,679.210022,1389200
2021-12-15,680.000000,698.799988,665.380005,697.309998,697.309998,1362700
2021-12-16,701.770020,707.349976,666.640015,671.280029,671.280029,1377500
2021-12-17,665.000000,677.890015,660.640015,669.169983,669.169983,1563300
2021-12-20,658.849976,673.010010,653.900024,661.080017,661.080017,911000
2021-12-21,679.549988,687.059998,665.140015,683.070007,683.070007,1340500
2021-12-22,678.479980,692.030029,672.919983,691.219971,691.219971,1042400
2021-12-23,694.479980,706.940002,693.380005,698.719971,698.719971,867400
2021-12-27,702.789978,724.000000,702.789978,723.400024,723.400024,1014300
2021-12-28,725.000000,728.380005,714.640015,716.099976,716.099976,781600
2021-12-29,718.690002,728.169983,716.099976,726.750000,726.750000,690200
2021-12-30,728.000000,728.000000,717.179993,718.330017,718.330017,521600
