Date,Open,High,Low,Close,Adj Close,Volume
2021-03-16,203.020004,203.559998,197.070007,198.740005,196.785477,529200
2021-03-17,198.979996,199.619995,195.419998,197.220001,195.280411,691600
2021-03-18,197.119995,200.660004,196.490005,200.419998,198.448944,455900
2021-03-19,199.699997,200.429993,197.990005,199.139999,197.181519,712100
2021-03-22,198.179993,198.570007,194.190002,198.160004,196.211166,515800
2021-03-23,196.949997,199.750000,196.360001,197.880005,195.933914,376700
2021-03-24,198.559998,203.509995,198.559998,201.339996,199.359879,337800
2021-03-25,201.100006,202.190002,198.169998,201.630005,199.647049,393500
2021-03-26,202.960007,206.800003,202.720001,206.550003,204.518661,211700
2021-03-29,205.250000,209.649994,204.589996,208.139999,206.093002,299700
2021-03-30,209.360001,211.179993,208.220001,210.460007,208.390213,426000
2021-03-31,211.059998,212.350006,208.559998,209.320007,207.261414,443900
2021-04-01,209.580002,212.429993,206.720001,212.250000,210.162582,377700
2021-04-05,213.000000,215.229996,212.500000,214.660004,212.548904,211200
2021-04-06,214.910004,217.029999,214.199997,215.009995,212.895447,341500
2021-04-07,214.479996,216.020004,212.869995,214.289993,212.182541,263900
2021-04-08,213.899994,216.600006,213.899994,215.320007,213.202408,403400
2021-04-09,216.600006,218.580002,215.130005,217.419998,215.281754,511100
2021-04-12,216.850006,220.399994,216.850006,218.240005,216.093689,682300
2021-04-13,217.770004,218.389999,215.550003,216.539993,214.410385,508600
2021-04-14,216.979996,218.600006,214.660004,215.470001,213.350922,420400
2021-04-15,215.960007,218.350006,214.509995,218.050003,215.905533,563400
2021-04-16,219.940002,222.309998,218.869995,220.570007,218.400772,2171500
2021-04-19,220.570007,221.350006,218.869995,219.850006,217.687866,374400
2021-04-20,220.110001,222.830002,219.679993,222.470001,220.282089,375600
2021-04-21,222.500000,225.850006,222.429993,224.630005,222.420837,479000
2021-04-22,225.419998,226.729996,224.199997,224.899994,222.688187,247800
2021-04-23,225.789993,226.289993,225.059998,225.190002,222.975327,572500
2021-04-26,226.720001,228.059998,225.229996,225.440002,223.222885,390000
2021-04-27,224.789993,227.179993,224.360001,226.190002,223.965515,296900
2021-04-28,235.759995,235.759995,222.320007,225.000000,222.787201,545100
2021-04-29,226.119995,228.309998,225.179993,228.149994,225.906219,359300
2021-04-30,226.860001,226.960007,223.369995,224.199997,221.995071,373900
2021-05-03,225.619995,225.619995,223.059998,223.500000,221.301941,385100
2021-05-04,222.619995,228.110001,222.580002,227.339996,225.104187,434700
2021-05-05,228.000000,228.000000,224.100006,225.690002,223.470413,385600
2021-05-06,226.690002,227.130005,224.779999,226.339996,224.114014,263700
2021-05-07,225.649994,227.570007,225.029999,226.000000,223.777344,368200
2021-05-10,226.570007,228.940002,226.570007,226.860001,224.628906,478600
2021-05-11,225.800003,225.800003,222.570007,224.750000,222.539658,345900
2021-05-12,224.179993,224.250000,218.050003,218.210007,216.063980,524100
2021-05-13,219.100006,224.479996,218.929993,223.270004,221.074219,235800
2021-05-14,223.740005,226.320007,223.419998,224.360001,222.153488,189700
2021-05-17,223.580002,224.389999,221.399994,223.839996,221.638596,247500
2021-05-18,223.690002,223.690002,220.830002,221.380005,219.202820,354300
2021-05-19,219.610001,219.610001,216.000000,217.419998,215.281754,646200
2021-05-20,218.169998,220.690002,216.929993,220.029999,217.866058,252700
2021-05-21,220.699997,221.539993,218.919998,219.960007,218.332596,267400
2021-05-24,221.660004,221.660004,218.929993,220.759995,219.126678,157700
2021-05-25,220.800003,222.639999,219.710007,221.520004,219.881073,287800
2021-05-26,223.479996,223.479996,220.039993,221.339996,219.702393,254400
2021-05-27,223.720001,223.720001,221.740005,221.869995,220.228470,338400
2021-05-28,221.419998,223.380005,219.910004,222.660004,221.012634,261300
2021-06-01,224.990005,226.100006,223.529999,223.869995,222.213669,327400
2021-06-02,224.100006,224.899994,222.710007,223.410004,221.757080,243700
2021-06-03,223.119995,223.929993,221.490005,223.199997,221.548630,146600
2021-06-04,223.360001,225.529999,223.360001,225.389999,223.722443,219500
2021-06-07,225.750000,225.820007,221.679993,222.750000,221.101959,259100
2021-06-08,223.039993,223.619995,220.770004,223.179993,221.528778,219200
2021-06-09,222.449997,222.929993,220.919998,221.009995,219.374832,321000
2021-06-10,221.860001,222.429993,219.850006,220.009995,218.382233,354800
2021-06-11,221.350006,221.839996,218.339996,220.250000,218.620468,252500
2021-06-14,219.779999,220.889999,217.550003,220.830002,219.196167,256500
2021-06-15,221.300003,223.259995,219.649994,222.460007,220.814117,302500
2021-06-16,222.860001,222.860001,217.570007,217.740005,216.129044,299500
2021-06-17,217.589996,218.410004,212.449997,214.660004,213.071823,384800
2021-06-18,211.830002,214.360001,211.740005,211.779999,210.213135,647000
2021-06-21,213.850006,217.429993,213.460007,217.110001,215.503693,274200
2021-06-22,217.789993,219.520004,216.410004,217.460007,215.851105,293400
2021-06-23,217.279999,220.080002,216.009995,217.639999,216.029770,370300
2021-06-24,218.529999,220.059998,217.169998,218.800003,217.181183,445100
2021-06-25,219.759995,222.020004,219.339996,219.820007,218.193634,375800
2021-06-28,219.820007,220.729996,217.850006,219.919998,218.292908,326600
2021-06-29,220.979996,221.610001,218.910004,220.570007,218.938095,318700
2021-06-30,219.960007,221.300003,219.520004,220.050003,218.421936,326300
2021-07-01,221.729996,221.729996,219.009995,219.869995,218.243271,325300
2021-07-02,220.419998,221.270004,219.149994,221.020004,219.384766,227300
2021-07-06,221.000000,221.580002,217.050003,219.369995,217.746948,302200
2021-07-07,219.580002,223.710007,219.580002,223.449997,221.796768,332300
2021-07-08,220.970001,222.229996,219.149994,220.679993,219.047272,325800
2021-07-09,223.800003,225.740005,223.800003,224.270004,222.610718,361800
2021-07-12,222.089996,224.919998,221.979996,224.500000,222.839005,451300
2021-07-13,224.600006,225.639999,222.470001,223.429993,221.776932,336400
2021-07-14,223.559998,224.979996,221.289993,223.919998,222.801788,447600
2021-07-15,223.080002,226.110001,223.080002,224.690002,223.567947,441500
2021-07-16,225.570007,227.710007,224.919998,226.669998,225.538055,1664300
2021-07-19,224.419998,224.419998,218.860001,222.350006,221.239639,447100
2021-07-20,223.139999,228.839996,223.139999,228.289993,227.149948,319200
2021-07-21,229.580002,231.130005,226.779999,227.460007,226.324112,401600
2021-07-22,227.380005,227.380005,225.330002,226.210007,225.080353,299300
2021-07-23,227.979996,227.979996,226.130005,227.800003,226.662415,261100
2021-07-26,227.919998,227.979996,225.149994,226.130005,225.000748,247200
2021-07-27,225.309998,227.449997,223.759995,226.250000,225.120148,312600
2021-07-28,216.149994,226.910004,212.869995,219.619995,218.523239,550100
2021-07-29,221.110001,223.229996,219.750000,223.050003,221.936142,421100
2021-07-30,223.199997,226.770004,222.050003,226.690002,225.557953,258000
