Date,Open,High,Low,Close,Adj Close,Volume
2021-07-16,155.679993,156.839996,155.110001,155.820007,153.720490,5852500
2021-07-19,155.990005,157.539993,154.759995,155.800003,153.700760,5750200
2021-07-20,156.199997,157.330002,155.559998,155.820007,153.720490,5213500
2021-07-21,155.300003,156.119995,154.570007,155.240005,153.148300,4905900
2021-07-22,155.190002,155.759995,153.970001,155.190002,153.098969,3333500
2021-07-23,155.559998,157.789993,155.240005,157.179993,155.062149,3588400
2021-07-26,156.789993,157.470001,156.029999,157.070007,154.953644,2999800
2021-07-27,157.309998,158.660004,157.029999,157.940002,155.811920,4043900
2021-07-28,157.600006,157.960007,155.910004,156.490005,154.381454,3556800
2021-07-29,157.229996,157.429993,156.199997,156.809998,154.697144,3055600
2021-07-30,157.369995,157.600006,156.619995,156.949997,154.835251,3757300
2021-08-02,157.000000,157.110001,155.509995,156.320007,154.213745,3425900
2021-08-03,157.000000,157.149994,156.309998,156.669998,154.559021,3359900
2021-08-04,156.190002,156.660004,153.869995,154.050003,151.974335,4846300
2021-08-05,154.979996,155.190002,153.869995,154.309998,152.230820,3733500
2021-08-06,153.770004,154.759995,153.639999,154.330002,152.250549,3430900
2021-08-09,154.639999,154.789993,153.710007,154.350006,152.270294,2636600
2021-08-10,154.309998,155.309998,153.809998,154.429993,152.349213,2670200
2021-08-11,154.710007,156.020004,154.470001,155.039993,152.950974,3058000
2021-08-12,155.229996,155.300003,154.600006,155.070007,152.980591,1958700
2021-08-13,155.100006,156.669998,154.899994,156.520004,154.411057,2113800
2021-08-16,156.929993,158.119995,156.729996,158.050003,155.920441,3224000
2021-08-17,157.910004,158.449997,157.240005,157.899994,155.772446,3736300
2021-08-18,157.679993,158.199997,156.199997,156.279999,154.174286,3419200
2021-08-19,155.820007,159.419998,155.779999,158.910004,156.768845,4745600
2021-08-20,158.929993,159.630005,158.250000,158.350006,156.216400,3484100
2021-08-23,157.830002,158.520004,157.320007,157.850006,155.723129,3102100
2021-08-24,157.750000,157.750000,155.679993,155.889999,153.789536,3760800
2021-08-25,155.360001,155.669998,154.160004,155.199997,153.108841,3346700
2021-08-26,155.509995,155.669998,154.089996,154.630005,152.546524,3220700
2021-08-27,154.839996,155.410004,154.210007,154.940002,152.852341,4166500
2021-08-30,155.179993,156.169998,155.009995,156.000000,153.898056,2540300
2021-08-31,156.089996,156.470001,155.339996,156.389999,154.282791,5291200
2021-09-01,156.839996,158.190002,156.509995,157.910004,155.782333,4231400
2021-09-02,156.789993,157.289993,155.869995,156.949997,155.896545,2862500
2021-09-03,156.199997,157.419998,155.899994,157.089996,156.035599,2035100
2021-09-07,156.479996,156.759995,153.679993,154.529999,153.492798,4609900
2021-09-08,154.660004,156.750000,154.300003,156.720001,155.668091,3199100
2021-09-09,156.880005,156.970001,155.399994,155.729996,154.684738,3560400
2021-09-10,155.979996,156.250000,155.009995,155.460007,154.416550,3850700
2021-09-13,155.940002,157.399994,155.389999,155.759995,154.714523,3367200
2021-09-14,156.380005,156.669998,154.820007,155.149994,154.108627,2808600
2021-09-15,155.220001,156.380005,154.779999,156.020004,154.972794,3702400
2021-09-16,155.389999,156.119995,153.809998,155.559998,154.515869,4589900
2021-09-17,155.229996,155.500000,153.830002,154.130005,153.095474,8127400
2021-09-20,153.899994,154.949997,152.419998,153.610001,152.578964,5484600
2021-09-21,154.610001,156.119995,152.970001,153.539993,152.509430,4479800
2021-09-22,154.619995,155.089996,153.449997,154.009995,152.976273,3001000
2021-09-23,153.690002,154.929993,153.539993,154.130005,153.095474,2712500
2021-09-24,153.750000,154.619995,153.550003,154.199997,153.165009,2366100
2021-09-27,153.800003,154.149994,152.389999,152.720001,151.694946,4482000
2021-09-28,152.369995,152.500000,150.100006,151.050003,150.036148,5910900
2021-09-29,151.339996,153.169998,150.690002,152.300003,151.277756,3326500
2021-09-30,153.220001,153.429993,150.369995,150.410004,149.400452,4949200
2021-10-01,151.350006,151.610001,149.520004,150.949997,149.936813,4274300
2021-10-04,150.880005,153.000000,149.479996,150.199997,149.191849,5404900
2021-10-05,151.360001,152.389999,150.070007,151.089996,150.075882,6103100
2021-10-06,150.839996,155.160004,149.960007,154.960007,153.919907,5499200
2021-10-07,155.520004,157.750000,155.520004,156.389999,155.340302,4605100
2021-10-08,156.570007,156.710007,155.490005,156.029999,154.982727,4186000
2021-10-11,156.389999,157.229996,155.660004,156.240005,155.191315,2738100
2021-10-12,156.220001,157.850006,156.210007,156.929993,155.876678,3195400
2021-10-13,157.460007,158.050003,156.020004,157.990005,156.929581,3599900
2021-10-14,158.619995,159.490005,158.610001,159.259995,158.191040,3677100
2021-10-15,159.660004,159.660004,157.509995,158.809998,157.744064,4311200
2021-10-18,158.199997,158.699997,156.800003,158.089996,157.028900,3274200
2021-10-19,158.639999,160.160004,157.539993,160.100006,159.025406,3125800
2021-10-20,160.580002,161.880005,159.679993,161.309998,160.227280,3716500
2021-10-21,161.389999,161.429993,158.979996,159.179993,158.111572,4164700
2021-10-22,159.580002,160.470001,159.470001,159.970001,158.896286,3240300
2021-10-25,159.949997,159.949997,158.789993,159.220001,158.151306,3281200
2021-10-26,159.169998,161.399994,159.100006,161.169998,160.088226,3684700
2021-10-27,161.750000,161.839996,159.559998,160.610001,159.531982,3751800
2021-10-28,160.850006,161.729996,160.470001,161.619995,160.535202,3589600
2021-10-29,161.029999,162.259995,160.910004,161.600006,160.515350,4558200
2021-11-01,161.199997,161.500000,160.179993,161.259995,160.177612,3017100
2021-11-02,161.550003,162.809998,160.940002,162.740005,161.647690,3464500
2021-11-03,162.149994,164.389999,162.149994,164.300003,163.197220,3595000
2021-11-04,164.220001,164.559998,163.350006,164.309998,163.207138,3310100
2021-11-05,165.550003,166.429993,164.520004,166.000000,164.885803,3753900
2021-11-08,165.809998,166.100006,161.149994,162.429993,161.339752,5766400
2021-11-09,162.309998,163.860001,162.000000,163.509995,162.412506,3778600
2021-11-10,164.740005,165.000000,163.029999,164.039993,162.938950,2683500
2021-11-11,163.970001,163.979996,162.550003,162.690002,161.598022,2453000
2021-11-12,163.009995,163.929993,162.080002,162.649994,161.558289,3540900
2021-11-15,162.509995,163.880005,162.490005,163.800003,162.700577,3357100
2021-11-16,164.270004,164.990005,163.229996,163.309998,162.213852,2899400
2021-11-17,162.619995,163.669998,162.080002,163.369995,162.273453,3332200
2021-11-18,162.809998,163.520004,161.750000,163.419998,162.323120,3498900
2021-11-19,164.500000,165.029999,163.440002,163.809998,162.710495,5242200
2021-11-22,163.199997,166.800003,163.179993,164.149994,163.048218,4157200
2021-11-23,163.559998,165.720001,163.309998,165.250000,164.140839,3878000
2021-11-24,165.089996,165.500000,162.580002,163.740005,162.640976,3309500
2021-11-26,162.710007,163.660004,160.889999,161.139999,160.058426,3402900
2021-11-29,162.669998,164.580002,161.139999,164.139999,163.038284,5305800
2021-11-30,163.830002,164.000000,158.389999,159.779999,158.707550,7610000
2021-12-01,162.470001,163.250000,160.050003,160.160004,159.085007,5385600
2021-12-02,160.130005,161.690002,159.830002,160.619995,160.619995,4619800
2021-12-03,161.470001,164.880005,161.339996,164.710007,164.710007,6464400
2021-12-06,166.050003,167.289993,165.789993,166.419998,166.419998,5403100
2021-12-07,166.419998,166.960007,165.660004,166.229996,166.229996,5460100
2021-12-08,166.139999,166.690002,164.029999,166.520004,166.520004,3891900
2021-12-09,165.919998,166.880005,164.850006,166.309998,166.309998,3644500
2021-12-10,167.539993,169.119995,166.899994,168.970001,168.970001,5025700
2021-12-13,168.929993,171.259995,168.050003,169.809998,169.809998,5411800
2021-12-14,169.350006,170.389999,168.300003,169.389999,169.389999,4985000
2021-12-15,169.770004,171.779999,169.460007,171.570007,171.570007,5507800
2021-12-16,171.570007,173.559998,171.020004,171.820007,171.820007,6909900
2021-12-17,171.110001,172.380005,168.050003,168.300003,168.300003,10159600
2021-12-20,167.160004,169.500000,166.750000,169.419998,169.419998,5263600
2021-12-21,169.229996,169.600006,167.779999,168.919998,168.919998,3401400
2021-12-22,168.960007,169.990005,168.270004,169.970001,169.970001,4362900
2021-12-23,169.979996,170.630005,169.250000,169.779999,169.779999,3241700
2021-12-27,169.990005,171.559998,169.770004,171.470001,171.470001,2868800
2021-12-28,171.460007,172.789993,171.199997,172.360001,172.360001,2332100
2021-12-29,172.789993,173.460007,171.929993,172.970001,172.970001,2299500
2021-12-30,173.539993,173.619995,172.229996,172.669998,172.669998,1988900
